token;freq
s;263543
e;417209
p;65680
a;331092
n;210086
k;117793
w;27745
t;105433
o;303364
ɾ;184780
b;68425
j;48286
m;87743
i;153620
d;168474
f;36309
r;5150
l;127177
ɡ;34810
ʝ;18723
u;38679
x;19293
ɲ;7249
t͡ʃ;9319
·;408
̧;2989
ª;195
ʃ;153
t͡ɬ;116
¶;1
ã;258
³;51
­;60
§;12
¼;2
±;25
´;103
t͡s;31
º;19
̂;5
½;5
@;20
ü;9
̀;3
♀;8
⚡;1
‍;8
̇;1
☹;2
✨;7
—;27
›;1
♥;7
✖;1
❣;3
✴;2
✅;2
「;1
」;1
…;5
☝;1
✊;1
☺;8
♂;1
♡;2
♪;1
⚪;1
⚽;1
❄;1
√;1
✋;1
