token;freq
desde;316
cabildo;432
auctoridat;2
suya;21
tomen;134
entren;20
aparezca;2
quiero;99
embargasse;6
forçasse;2
defienda;10
poder;188
á;311
ayudedes;6
tal;233
sean;524
entregados;10
segunt;166
çamora;256
miércoles;61
sex;38
doze;81
gil;397
muchos;231
servicios;186
segovia;272
só;38
tenudo;33
amarle;1
onrarle;1
fazerle;12
cosas;688
ond;22
fuerça;97
eglesias;113
casas;292
celleros;1
bodegas;4
avrié;174
ira;220
m;218
ié;222
coto;252
qui;258
voz;51
toviere;64
xii;17
setiembre;44
pedro;517
medina;40
escrivió;154
crismón;1
enel;2
ffijo;3
spiritu;1
santo;70
sson;1
perssonas;1
un;2572
onrra;2
seruiçio;1
dela;16
virgen;29
gloriosa;11
santa;271
maria;5
madre;206
sennora;1
aduogada;1
ffechos;1
natural;39
omne;290
ffaze;1
quiere;95
lieuen;2
adelant;67
sse;3
oluide;1
pierda;42
cansse;1
migue;1
cursso;1
uida;1
deste;3
mundo;187
aquello;136
ffinca;1
memoria;16
guiador;11
alma;53
meresçedor;1
buen;60
galardon;1
caher;1
oluido;1
mandaron;28
escripto;36
priuilegios;8
regnassen;11
despues;7
dellos;2
touiessen;2
logar;310
ffuessen;1
tenidos;21
leuar;1
confirmando;2
aquellos;597
rreçiben;1
rogar;22
catando;36
aquesto;21
queremos;63
priuilegio;6
seran;2
daquiadent;1
fernando;270
leon;11
seuilla;3
cordoua;4
jahen;5
ssennor;2
reyna;3
donna;4
constanca;1
mj;4
muger;75
inffante;5
lionor;5
fija;32
primera;172
heredera;9
sabiendo;11
venimos;58
onrraron;1
dotaron;3
grandes;98
donadios;1
guardaron;8
gracias;53
fueron;292
mantenidos;7
aiudados;1
sennaladamientre;1
enemigos;21
ffe;1
queriendo;22
seguir;36
carrera;101
delos;14
buenos;259
sabemos;32
creemos;4
guerra;157
coraçon;1
seruicio;2
puede;231
seer;75
tan;380
aprouechosa;1
ajuda;7
sin;598
qual;6
conquista;8
acabar;23
ttenemos;1
algunas;121
merçedes;1
alos;15
prelados;113
alas;6
ordenes;9
clerigos;5
mientre;30
confirmamos;31
uenimos;2
vsos;1
aguardagdos;1
justicias;90
juezes;99
sopena;2
moravedis;4
nueua;3
peche;131
fuere;239
negligente;3
complir;121
otrosi;15
sentencias;36
derechas;6
dieren;50
pusieren;14
cumioplan;1
merjnos;5
fueren;188
requeridos;4
prelado;20
do;155
acaesciere;1
vicarios;10
demandar;126
pechos;177
njn;21
razon;6
ouieremos;1
ademandar;1
algun;4
aiuda;1
llamemos;3
atodos;3
ajuntadamientre;2
pidamos;6
conssentimiento;2
pero;1370
algunos;306
pudieren;22
y;7044
venir;150
vinieren;122
procuradores;21
daquellos;2
uinieren;1
ser;319
cios;2
uassallos;4
delas;10
perssonalmientre;1
cortes;79
ajuntamiento;2
quando;4
ffizieremos;1
pedir;102
segund;184
deffendemos;3
echar;20
pecho;145
echare;5
meytad;4
para;1813
quelo;2
querellare;6
uianda;2
quales;6
tomaren;31
posando;2
parte;464
pechen;84
caualleros;2
padrones;21
herederos;63
monesterios;19
vsen;1
yantares;74
abbades;1
assi;4
vsaron;1
tiempo;642
fferrando;8
visauulo;1
alffonso;11
auuelo;2
passen;35
amas;62
adelantados;20
priuiligiados;2
costumbrando;1
costumbrado;2
entrar;34
auentura;1
usaron;40
empeesça;1
desdel;1
aca;1
abbadengos;1
saluo;3
usen;34
dicho;523
regno;266
estremaduras;7
delo;3
enlo;1
merjndades;2
tener;164
iusticia;1
bueno;47
lego;8
ponga;42
pesquisa;120
anno;15
ffizieren;1
malffetrias;1
bienes;189
penas;39
demandado;14
merino;388
faga;148
ouiere;1
iustiçia;1
cumpliere;12
demandaremos;1
seruicios;1
